2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,47.8,48.9,1.1,2.3,0.6,5.4,"$36,340 ",High school diploma or equivalent,None,Short-term on-the-job training
      Helpers--roofers,47-3016,Line item,5.9,6,0.1,2,,0.7,"$37,020 ",No formal educational credential,None,Short-term on-the-job training
"      Helpers, construction trades, all other",47-3019,Line item,28.3,28.8,0.4,1.6,0.6,3.2,"$37,820 ",No formal educational credential,None,Short-term on-the-job training
    Other construction and related workers,47-4000,Summary,480.9,494.3,13.4,2.8,5.4,48.3,"$49,660 ",,,
      Construction and building inspectors,47-4011,Line item,142.4,140.2,-2.2,-1.5,7.1,15.7,"$64,480 ",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
      Elevator and escalator installers and repairers,47-4021,Line item,25.1,25.5,0.4,1.5,,2.1,"$99,000 ",High school diploma or equivalent,None,Apprenticeship
      Fence erectors,47-4031,Line item,35.2,34.9,-0.3,-0.7,24,2.9,"$39,840 ",No formal educational credential,None,Moderate-term on-the-job training
      Hazardous materials removal workers,47-4041,Line item,48.7,49.1,0.4,0.8,2.9,5.2,"$46,690 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Highway maintenance workers,47-4051,Line item,151.2,163.2,12,7.9,1.7,15.2,"$44,930 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Rail-track laying and maintenance equipment operators,47-4061,Line item,16.5,16.7,0.2,1.4,,1.2,"$63,230 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Septic tank servicers and sewer pipe cleaners,47-4071,Line item,29.5,31.7,2.2,7.4,5.4,3,"$45,610 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Miscellaneous construction and related workers,47-4090,Line item,32.3,33,0.6,2,6.3,3,"$44,890 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Extraction workers,47-5000,Summary,209.5,207.8,-1.7,-0.8,2.9,21.1,"$49,330 ",,,
"      Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,64.6,64.7,0.1,0.2,2.2,6.5,"$51,050 ",,,
"        Derrick operators, oil and gas",47-5011,Line item,11.9,11.9,0.1,0.5,2.2,1.2,"$51,220 ",No formal educational credential,None,Short-term on-the-job training
"        Rotary drill operators, oil and gas",47-5012,Line item,13.2,13.2,0,0.1,2.2,1.3,"$55,260 ",No formal educational credential,None,Moderate-term on-the-job training
"        Service unit operators, oil and gas",47-5013,Line item,39.5,39.5,0.1,0.1,2.2,4,"$50,140 ",No formal educational credential,None,Moderate-term on-the-job training
      Surface mining machine operators and earth drillers,47-5020,Summary,56.8,55.8,-0.9,-1.7,6.1,5.5,"$49,590 ",,,
"        Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,36.4,35,-1.4,-3.8,6,3.4,"$48,350 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"        Earth drillers, except oil and gas",47-5023,Line item,20.4,20.8,0.4,2.2,6.1,2.1,"$51,740 ",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
"      Explosives workers, ordnance handling experts, and blasters",47-5032,Line item,4.9,4.9,0.1,1.1,,0.4,"$56,670 ",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
      Underground mining machine operators,47-5040,Summary,23.4,21.2,-2.2,-9.3,0.6,2.2,"$60,670 ",,,
        Continuous mining machine operators,47-5041,Line item,13.9,13.5,-0.4,-3.2,0.6,1.4,"$57,360 ",No formal educational credential,None,Moderate-term on-the-job training
"        Roof bolters, mining",47-5043,Line item,1.8,1.3,-0.5,-28.5,,0.1,"$60,210 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Loading and moving machine operators, underground mining",47-5044,Line item,5.4,4.4,-1,-17.7,,0.4,"$63,920 ",No formal educational credential,None,Short-term on-the-job training
"        Underground mining machine operators, all other",47-5049,Line item,2.3,2,-0.3,-12.5,,0.2,"$64,180 ",No formal educational credential,None,Moderate-term on-the-job training
"      Rock splitters, quarry",47-5051,Line item,4.1,4.1,0.1,1.9,,0.5,"$46,010 ",No formal educational credential,None,Short-term on-the-job training
"      Roustabouts, oil and gas",47-5071,Line item,42.1,43.3,1.2,2.9,2.2,4.4,"$43,590 ",No formal educational credential,None,Moderate-term on-the-job training
      Helpers--extraction workers,47-5081,Line item,7.2,7.2,0.1,0.8,,0.8,"$43,110 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Extraction workers, all other",47-5099,Line item,6.6,6.4,-0.1,-1.8,,0.7,"$51,600 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"  Installation, maintenance, and repair occupations",49-0000,Summary,"6,315.30","6,543.70",228.4,3.6,4.7,582.1,"$50,080 ",,,
"    Supervisors of installation, maintenance, and repair workers",49-1000,Summary,576.2,590.2,14,2.4,0,49.2,"$73,140 ",,,
"      First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,576.2,590.2,14,2.4,0,49.2,"$73,140 ",High school diploma or equivalent,Less than 5 years,None
"    Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,527.5,528,0.5,0.1,4.8,50.5,"$56,950 ",,,
"      Computer, automated teller, and office machine repairers",49-2011,Line item,96.4,86,-10.4,-10.8,13.9,7.7,"$44,910 ","Some college, no degree",None,Short-term on-the-job training
      Radio and telecommunications equipment installers and repairers,49-2020,Summary,187.1,198.6,11.4,6.1,2.2,20.5,"$59,940 ",,,
"        Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,13.5,13.9,0.5,3.4,2,1.4,"$59,720 ",Associate's degree,None,Moderate-term on-the-job training
"        Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,173.7,184.7,11,6.3,2.2,19.1,"$59,960 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
"      Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,244,243.4,-0.6,-0.2,3.2,22.3,"$59,270 ",,,
        Avionics technicians,49-2091,Line item,20.8,21.7,0.9,4.3,,1.9,"$75,450 ",Associate's degree,None,None
"        Electric motor, power tool, and related repairers",49-2092,Line item,16.1,16.5,0.4,2.5,2.8,1.3,"$48,260 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"        Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,7.9,8.3,0.4,4.8,,0.7,"$73,630 ",Postsecondary nondegree award,None,Long-term on-the-job training
"        Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,53.6,53.2,-0.4,-0.7,0.5,4.4,"$64,030 ",Postsecondary nondegree award,None,Long-term on-the-job training
"        Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,26.1,25.4,-0.7,-2.7,0.5,2.1,"$93,720 ",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"        Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,9.7,7.9,-1.7,-18,0.6,0.6,"$41,600 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Audiovisual equipment installers and repairers,49-2097,Line item,26.9,25.2,-1.8,-6.5,16.4,2.3,"$44,960 ",Postsecondary nondegree award,None,Short-term on-the-job training
        Security and fire alarm systems installers,49-2098,Line item,83,85.3,2.3,2.8,2.8,8.9,"$50,130 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"    Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,"1,847.80","1,890.40",42.5,2.3,9.2,163.7,"$48,630 ",,,
      Aircraft mechanics and service technicians,49-3011,Line item,140.2,146.2,6.1,4.3,1.2,10.9,"$70,010 ",Postsecondary nondegree award,None,None
      Automotive technicians and repairers,49-3020,Summary,957.4,972.4,15,1.6,13.5,82.8,"$47,040 ",,,
        Automotive body and related repairers,49-3021,Line item,153.3,155.2,1.9,1.2,8,13.4,"$47,670 ",High school diploma or equivalent,None,Long-term on-the-job training
        Automotive glass installers and repairers,49-3022,Line item,21.9,22.2,0.4,1.7,19.4,1.7,"$43,700 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Automotive service technicians and mechanics,49-3023,Line item,782.2,795,12.8,1.6,14.4,67.7,"$46,970 ",Postsecondary nondegree award,None,Short-term on-the-job training
      Bus and truck mechanics and diesel engine specialists,49-3031,Line item,291.6,294.1,2.5,0.9,4.6,24.3,"$54,360 ",High school diploma or equivalent,None,Long-term on-the-job training
      Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,234.8,247.8,13,5.5,4.9,21.1,"$58,350 ",,,
        Farm equipment mechanics and service technicians,49-3041,Line item,45.6,49.3,3.7,8.1,4.5,4.3,"$48,010 ",High school diploma or equivalent,None,Long-term on-the-job training
"        Mobile heavy equipment mechanics, except engines",49-3042,Line item,169.1,177.6,8.6,5.1,5,15.1,"$59,440 ",High school diploma or equivalent,None,Long-term on-the-job training
        Rail car repairers,49-3043,Line item,20.1,20.8,0.7,3.6,4.9,1.8,"$62,510 ",High school diploma or equivalent,None,Long-term on-the-job training
      Small engine mechanics,49-3050,Summary,88,90.5,2.5,2.8,13.4,9,"$44,080 ",,,
        Motorboat mechanics and service technicians,49-3051,Line item,29.3,31,1.7,5.7,13.5,3.1,"$48,280 ",High school diploma or equivalent,None,Long-term on-the-job training
        Motorcycle mechanics,49-3052,Line item,17.1,17.4,0.3,1.8,13.7,1.7,"$43,370 ",Postsecondary nondegree award,None,Short-term on-the-job training
        Outdoor power equipment and other small engine mechanics,49-3053,Line item,41.6,42.1,0.5,1.2,13.1,4.2,"$40,030 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,135.9,139.3,3.4,2.5,2,15.5,"$35,250 ",,,
        Bicycle repairers,49-3091,Line item,14.4,14.9,0.5,3.8,2,1.7,"$36,250 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Recreational vehicle service technicians,49-3092,Line item,17.7,19.4,1.7,9.8,2,2.2,"$45,030 ",High school diploma or equivalent,None,Long-term on-the-job training
        Tire repairers and changers,49-3093,Line item,103.8,105,1.2,1.1,2,11.6,"$34,240 ",High school diploma or equivalent,None,Short-term on-the-job training
"    Other installation, maintenance, and repair occupations",49-9000,Summary,"3,363.80","3,535.20",171.5,5.1,3,318.7,"$48,360 ",,,
      Control and valve installers and repairers,49-9010,Summary,75.9,78.3,2.4,3.2,0.4,5.9,"$55,790 ",,,
        Mechanical door repairers,49-9011,Line item,28,30.6,2.7,9.6,0.5,2.4,"$47,010 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Control and valve installers and repairers, except mechanical door",49-9012,Line item,47.9,47.6,-0.3,-0.6,0.4,3.4,"$64,810 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,415.8,438.8,23,5.5,7.8,37.7,"$51,390 ",Postsecondary nondegree award,None,Long-term on-the-job training
      Home appliance repairers,49-9031,Line item,36.6,35.1,-1.6,-4.3,19.1,2.9,"$46,000 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,508.5,573.1,64.6,12.7,1.6,49.1,"$59,470 ",,,
        Industrial machinery mechanics,49-9041,Line item,402.2,462.1,59.9,14.9,1.9,39.2,"$59,830 ",High school diploma or equivalent,None,Long-term on-the-job training
"        Maintenance workers, machinery",49-9043,Line item,63.6,67.1,3.5,5.5,,6.4,"$53,310 ",High school diploma or equivalent,None,Long-term on-the-job training
        Millwrights,49-9044,Line item,42.1,43.4,1.3,3,1.1,3.5,"$60,930 ",High school diploma or equivalent,None,Apprenticeship
"        Refractory materials repairers, except brickmasons",49-9045,Line item,0.6,0.5,-0.1,-21.4,,0,"$50,550 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Line installers and repairers,49-9050,Summary,234.5,245.5,11,4.7,1.4,20.6,"$75,230 ",,,
        Electrical power-line installers and repairers,49-9051,Line item,122.4,125.8,3.5,2.8,0.1,9.7,"$82,340 ",High school diploma or equivalent,None,Long-term on-the-job training
        Telecommunications line installers and repairers,49-9052,Line item,112.1,119.6,7.5,6.7,2.9,11,"$60,580 ",High school diploma or equivalent,None,Long-term on-the-job training
      Precision instrument and equipment repairers,49-9060,Summary,89.9,97.5,7.5,8.4,9.4,9.2,"$56,070 ",,,
        Camera and photographic equipment repairers,49-9061,Line item,2.4,2.4,0,1.1,8.1,0.2,"$44,060 ",High school diploma or equivalent,None,Long-term on-the-job training
        Medical equipment repairers,49-9062,Line item,66.4,75.1,8.8,13.2,9.6,7.3,"$57,860 ",Associate's degree,None,Moderate-term on-the-job training
        Musical instrument repairers and tuners,49-9063,Line item,7,6.3,-0.7,-9.4,9.9,0.5,"$38,150 ",High school diploma or equivalent,None,Apprenticeship
        Watch and clock repairers,49-9064,Line item,2.1,1.4,-0.6,-29.8,10.2,0.1,"$48,370 ",High school diploma or equivalent,None,Long-term on-the-job training
"        Precision instrument and equipment repairers, all other",49-9069,Line item,12.1,12.1,0,0,8,1.1,"$61,690 ",High school diploma or equivalent,None,Long-term on-the-job training
"      Maintenance and repair workers, general",49-9071,Line item,"1,607.20","1,664.40",57.2,3.6,0.9,152.4,"$44,980 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Wind turbine service technicians,49-9081,Line item,11.2,16.2,5,44.9,10.6,1.8,"$57,320 ",Postsecondary nondegree award,None,Long-term on-the-job training
"      Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,384.1,386.5,2.4,0.6,7,39.1,"$40,770 ",,,
"        Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,39.2,38.5,-0.7,-1.7,7,4.2,"$39,690 ",High school diploma or equivalent,None,Short-term on-the-job training
        Commercial divers,49-9092,Line item,4.4,4.7,0.3,6,10.4,0.5,"$68,300 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
        Locksmiths and safe repairers,49-9094,Line item,18.2,16.1,-2,-11.1,14.6,1.7,"$47,400 ",High school diploma or equivalent,None,Long-term on-the-job training
        Manufactured building and mobile home installers,49-9095,Line item,4.1,3.2,-0.9,-21,10.7,0.3,"$36,820 ",High school diploma or equivalent,None,Short-term on-the-job training
        Riggers,49-9096,Line item,19.7,20,0.3,1.4,,2,"$54,680 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Signal and track switch repairers,49-9097,Line item,6.6,6.7,0.1,1.2,9.3,0.6,"$81,300 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Helpers--installation, maintenance, and repair workers",49-9098,Line item,96.5,98.9,2.4,2.5,1.3,11,"$35,100 ",High school diploma or equivalent,None,Short-term on-the-job training
"        Installation, maintenance, and repair workers, all other",49-9099,Line item,195.4,198.3,2.9,1.5,9.7,18.8,"$44,500 ",High school diploma or equivalent,None,Moderate-term on-the-job training
  Production occupations,51-0000,Summary,"9,134.50","8,845.80",-288.7,-3.2,2.7,933,"$39,910 ",,,
    Supervisors of production workers,51-1000,Summary,681.7,683.7,1.9,0.3,1.5,63.3,"$63,510 ",,,
      First-line supervisors of production and operating workers,51-1011,Line item,681.7,683.7,1.9,0.3,1.5,63.3,"$63,510 ",High school diploma or equivalent,Less than 5 years,None
    Assemblers and fabricators,51-2000,Summary,"1,961.90","1,836.20",-125.7,-6.4,1.3,188.6,"$37,930 ",,,
"      Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,33.9,28.8,-5.1,-15.2,1.4,2.8,"$58,430 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Electrical, electronics, and electromechanical assemblers",51-2020,Summary,294,304.9,10.9,3.7,0.8,32.7,"$38,640 ",,,
"        Coil winders, tapers, and finishers",51-2021,Line item,11.1,9.3,-1.8,-16.6,0.8,0.9,"$43,160 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,282.9,295.6,12.7,4.5,0.8,31.8,"$38,580 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Engine and other machine assemblers,51-2031,Line item,50.9,41.3,-9.6,-18.9,,4.7,"$50,850 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Structural metal fabricators and fitters,51-2041,Line item,59.6,49.8,-9.8,-16.4,,4.6,"$47,200 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Fiberglass laminators and fabricators,51-2051,Line item,22.6,22.5,-0.1,-0.3,1.5,2.4,"$38,110 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Timing device assemblers and adjusters,51-2061,Line item,0.4,0.3,-0.1,-18.7,,0,"$42,290 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Miscellaneous assemblers and fabricators,51-2090,Line item,"1,500.40","1,388.60",-111.8,-7.5,1.5,141.4,"$37,280 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Food processing workers,51-3000,Summary,841.7,869.3,27.6,3.3,1.7,115.4,"$35,320 ",,,
      Bakers,51-3011,Line item,218.8,229.6,10.8,4.9,4,33.8,"$32,780 ",No formal educational credential,None,Moderate-term on-the-job training
"      Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,353.8,354.1,0.4,0.1,0.4,41.7,"$35,870 ",,,
        Butchers and meat cutters,51-3021,Line item,131.6,130.1,-1.6,-1.2,0.4,15.3,"$36,930 ",No formal educational credential,None,Long-term on-the-job training
"        Meat, poultry, and fish cutters and trimmers",51-3022,Line item,141,143.8,2.8,2,0.4,17,"$35,070 ",No formal educational credential,None,Short-term on-the-job training
        Slaughterers and meat packers,51-3023,Line item,81.1,80.3,-0.8,-1,0.4,9.4,"$35,240 ",No formal educational credential,None,Short-term on-the-job training
      Miscellaneous food processing workers,51-3090,Summary,269.2,285.6,16.4,6.1,1.6,39.9,"$36,190 ",,,
"        Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,21.5,22.2,0.7,3,4.7,3,"$37,790 ",No formal educational credential,None,Moderate-term on-the-job training
        Food batchmakers,51-3092,Line item,171.5,185,13.4,7.8,1.2,27.8,"$36,580 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Food cooking machine operators and tenders,51-3093,Line item,27.3,27.7,0.4,1.6,0.3,3.9,"$36,700 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Food processing workers, all other",51-3099,Line item,48.8,50.7,1.9,3.9,2.4,5.2,"$34,710 ",No formal educational credential,None,Moderate-term on-the-job training
    Metal workers and plastic workers,51-4000,Summary,"1,693.40","1,640.70",-52.7,-3.1,1.5,156.9,"$45,080 ",,,
"      Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,103.4,97.5,-5.9,-5.7,,9.6,"$42,540 ",,,
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,64.3,63.1,-1.2,-1.9,,6.4,"$39,970 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,10.9,9.3,-1.6,-14.6,,0.9,"$46,540 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,28.2,25.1,-3.1,-11,,2.4,"$46,310 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,301.8,269.3,-32.5,-10.8,0,26.1,"$39,880 ",,,
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,184.8,164.7,-20.1,-10.9,,14.9,"$39,340 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,6.6,5.4,-1.2,-18.3,,0.6,"$42,450 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,75,67.9,-7.1,-9.5,0.2,6.8,"$38,910 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,19.7,17.8,-1.9,-9.4,,2.2,"$47,020 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,15.7,13.5,-2.2,-13.9,,1.6,"$46,870 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Machinists,51-4041,Line item,327,333.3,6.3,1.9,1.4,32.6,"$48,510 ",High school diploma or equivalent,None,Long-term on-the-job training
"      Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,25.9,23.7,-2.2,-8.4,,2.2,"$49,110 ",,,
        Metal-refining furnace operators and tenders,51-4051,Line item,19.7,18.1,-1.6,-8.2,,1.7,"$50,280 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Pourers and casters, metal",51-4052,Line item,6.2,5.6,-0.6,-9.1,,0.5,"$45,070 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Model makers and patternmakers, metal and plastic",51-4060,Summary,5.7,4.5,-1.1,-19.9,,0.3,"$56,170 ",,,
"        Model makers, metal and plastic",51-4061,Line item,3.4,2.8,-0.6,-18.8,,0.2,"$57,620 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Patternmakers, metal and plastic",51-4062,Line item,2.3,1.8,-0.5,-21.6,,0.1,"$54,970 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,179.4,170.5,-8.9,-5,0,14.6,"$37,160 ",,,
        Foundry mold and coremakers,51-4071,Line item,11.5,8.8,-2.7,-23.5,,0.6,"$40,120 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,167.9,161.7,-6.2,-3.7,0,13.9,"$37,050 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,139.9,140.7,0.8,0.6,0.7,13.6,"$39,210 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Tool and die makers,51-4111,Line item,62.7,57.4,-5.3,-8.5,,5.6,"$59,800 ",Postsecondary nondegree award,None,Long-term on-the-job training
"      Welding, soldering, and brazing workers",51-4120,Summary,464.7,468.1,3.4,0.7,4,45.4,"$47,430 ",,,
"        Welders, cutters, solderers, and brazers",51-4121,Line item,431.8,438,6.2,1.4,4,42.6,"$47,540 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,32.9,30.1,-2.8,-8.4,4,2.8,"$44,920 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Miscellaneous metal workers and plastic workers,51-4190,Summary,83,75.5,-7.4,-8.9,0.7,6.9,"$39,520 ",,,
"        Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,16,14.6,-1.5,-9.1,0.7,1.3,"$40,900 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Layout workers, metal and plastic",51-4192,Line item,7.1,6.4,-0.7,-10.2,,0.6,"$58,260 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,32.9,29.8,-3.1,-9.4,0.7,2.7,"$37,900 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Tool grinders, filers, and sharpeners",51-4194,Line item,5.5,5,-0.5,-8.5,,0.5,"$41,940 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Metal workers and plastic workers, all other",51-4199,Line item,21.4,19.8,-1.7,-7.8,0.7,1.8,"$38,340 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Printing workers,51-5100,Summary,222.5,198.1,-24.4,-11,3.2,19.7,"$38,890 ",,,
      Prepress technicians and workers,51-5111,Line item,25.7,21.3,-4.4,-17.1,1.4,2.5,"$43,560 ",Postsecondary nondegree award,None,None
      Printing press operators,51-5112,Line item,155.5,142.3,-13.2,-8.5,2.9,14.4,"$39,350 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Print binding and finishing workers,51-5113,Line item,41.4,34.6,-6.8,-16.4,5.4,2.8,"$36,970 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"    Textile, apparel, and furnishings workers",51-6000,Summary,536.3,490.3,-46,-8.6,10.8,57.7,"$31,200 ",,,
      Laundry and dry-cleaning workers,51-6011,Line item,184.4,182,-2.3,-1.3,1.9,24.5,"$29,060 ",No formal educational credential,None,Short-term on-the-job training
"      Pressers, textile, garment, and related materials",51-6021,Line item,29.8,23.3,-6.5,-21.8,1.8,2.7,"$29,690 ",No formal educational credential,None,Short-term on-the-job training
      Sewing machine operators,51-6031,Line item,141.9,120.3,-21.6,-15.2,17,12.5,"$31,740 ",No formal educational credential,None,Short-term on-the-job training
      Shoe and leather workers,51-6040,Summary,13.1,11.7,-1.4,-10.9,8,1.3,"$32,790 ",,,
        Shoe and leather workers and repairers,51-6041,Line item,9.8,8.7,-1.1,-11,8,1,"$32,460 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Shoe machine operators and tenders,51-6042,Line item,3.3,2.9,-0.4,-10.9,8,0.3,"$33,060 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Tailors, dressmakers, and sewers",51-6050,Summary,40.9,35.1,-5.7,-14,49,4.6,"$33,850 ",,,
"        Sewers, hand",51-6051,Line item,6.9,5.8,-1.1,-15.8,49,0.8,"$31,530 ",No formal educational credential,None,Moderate-term on-the-job training
"        Tailors, dressmakers, and custom sewers",51-6052,Line item,33.9,29.3,-4.6,-13.6,49,3.8,"$34,280 ",No formal educational credential,None,Moderate-term on-the-job training
"      Textile machine setters, operators, and tenders",51-6060,Summary,60.9,55,-5.9,-9.7,2,5.8,"$34,170 ",,,
        Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,7,6.4,-0.7,-9.5,2,0.7,"$32,680 ",High school diploma or equivalent,None,Short-term on-the-job training
"        Textile cutting machine setters, operators, and tenders",51-6062,Line item,11.1,9.9,-1.2,-10.8,2.1,1,"$34,420 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,17.8,15.9,-1.9,-10.5,2,1.7,"$35,750 ",High school diploma or equivalent,None,Short-term on-the-job training
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,25,22.9,-2.2,-8.6,2,2.4,"$33,720 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,65.4,62.8,-2.5,-3.9,11.3,6.3,"$38,460 ",,,
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,16.3,15.9,-0.4,-2.3,9,1.7,"$39,860 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Fabric and apparel patternmakers,51-6092,Line item,3.4,3.1,-0.2,-7.4,9.2,0.3,"$60,320 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Upholsterers,51-6093,Line item,31.5,30.7,-0.8,-2.5,13.9,2.8,"$39,600 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Textile, apparel, and furnishings workers, all other",51-6099,Line item,14.3,13.2,-1.1,-7.8,8.7,1.4,"$32,640 ",High school diploma or equivalent,None,Short-term on-the-job training
    Woodworkers,51-7000,Summary,253.9,250.7,-3.2,-1.3,8.2,25,"$37,520 ",,,
